locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPDIGIDD_00044	CDS	306				hypothetical protein
PPDIGIDD_00045	CDS	156				hypothetical protein
PPDIGIDD_00046	CDS	1131				hypothetical protein
PPDIGIDD_00047	CDS	921				hypothetical protein
PPDIGIDD_00048	CDS	714				hypothetical protein
PPDIGIDD_00049	CDS	1146				hypothetical protein
PPDIGIDD_00050	CDS	1113				hypothetical protein
PPDIGIDD_00051	CDS	432				hypothetical protein
PPDIGIDD_00052	CDS	807				hypothetical protein
PPDIGIDD_00053	CDS	2946	virB4_1			Type IV secretion system protein virB4
PPDIGIDD_00054	CDS	624				hypothetical protein
PPDIGIDD_00055	CDS	348				hypothetical protein
PPDIGIDD_00056	CDS	3546	cagA			Cytotoxicity-associated immunodominant antigen
PPDIGIDD_00057	CDS	300				hypothetical protein
PPDIGIDD_00058	CDS	768	murI	5.1.1.3	COG0796	Glutamate racemase
PPDIGIDD_00059	CDS	1317	rho	3.6.4.-	COG1158	Transcription termination factor Rho
PPDIGIDD_00060	CDS	204	rpmE		COG0254	50S ribosomal protein L31
PPDIGIDD_00061	CDS	852	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
PPDIGIDD_00062	CDS	684	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PPDIGIDD_00063	CDS	966				hypothetical protein
PPDIGIDD_00064	CDS	822				hypothetical protein
PPDIGIDD_00065	CDS	939	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
PPDIGIDD_00066	CDS	1239	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PPDIGIDD_00067	CDS	108				hypothetical protein
PPDIGIDD_00068	CDS	237	acpP			Acyl carrier protein
PPDIGIDD_00069	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PPDIGIDD_00070	CDS	213	rpsU		COG0828	30S ribosomal protein S21
PPDIGIDD_00071	CDS	1251				hypothetical protein
PPDIGIDD_00072	CDS	246				hypothetical protein
PPDIGIDD_00073	CDS	648	rclC		COG3059	Inner membrane protein RclC
PPDIGIDD_00074	CDS	822	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
PPDIGIDD_00075	CDS	1047				hypothetical protein
PPDIGIDD_00076	CDS	219				hypothetical protein
PPDIGIDD_00077	CDS	684				hypothetical protein
PPDIGIDD_00078	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
PPDIGIDD_00079	CDS	1491	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
PPDIGIDD_00080	CDS	579	yohD		COG0586	Inner membrane protein YohD
PPDIGIDD_00081	CDS	540	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
PPDIGIDD_00082	CDS	333				hypothetical protein
PPDIGIDD_00083	CDS	456	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
PPDIGIDD_00084	CDS	600				hypothetical protein
PPDIGIDD_00085	CDS	873				hypothetical protein
PPDIGIDD_00086	CDS	894	folD		COG0190	Bifunctional protein FolD protein
PPDIGIDD_00087	CDS	2028	mdoB	2.7.8.20		Phosphoglycerol transferase I
PPDIGIDD_00088	CDS	396				hypothetical protein
PPDIGIDD_00089	CDS	1014				hypothetical protein
PPDIGIDD_00090	CDS	234	pyrC_1	3.5.2.3		Dihydroorotase
PPDIGIDD_00091	CDS	747	pyrC_2	3.5.2.3	COG0418	Dihydroorotase
PPDIGIDD_00092	CDS	543				hypothetical protein
PPDIGIDD_00093	CDS	339				hypothetical protein
PPDIGIDD_00094	CDS	882				hypothetical protein
PPDIGIDD_00095	CDS	372				hypothetical protein
PPDIGIDD_00096	CDS	651	nth_1	4.2.99.18	COG0177	Endonuclease III
PPDIGIDD_00097	CDS	231				hypothetical protein
PPDIGIDD_00098	CDS	2940				hypothetical protein
PPDIGIDD_00099	CDS	870	mltG	4.2.2.-		Endolytic murein transglycosylase
PPDIGIDD_00100	CDS	342	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PPDIGIDD_00101	CDS	1128	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
PPDIGIDD_00102	CDS	822				hypothetical protein
PPDIGIDD_00103	CDS	555				hypothetical protein
PPDIGIDD_00104	CDS	1779				hypothetical protein
PPDIGIDD_00105	CDS	165				hypothetical protein
PPDIGIDD_00106	CDS	1470				hypothetical protein
PPDIGIDD_00107	CDS	579				hypothetical protein
PPDIGIDD_00108	CDS	1980	mrcA		COG5009	Penicillin-binding protein 1A
PPDIGIDD_00109	CDS	1122	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
PPDIGIDD_00110	CDS	1302				hypothetical protein
PPDIGIDD_00111	CDS	930	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
PPDIGIDD_00112	CDS	1533	flaA		COG1344	Flagellin A
PPDIGIDD_00113	CDS	654	nth_2	4.2.99.18		Endonuclease III
PPDIGIDD_00114	CDS	618				hypothetical protein
PPDIGIDD_00115	CDS	1020	hemE_1	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
PPDIGIDD_00116	CDS	1125				hypothetical protein
PPDIGIDD_00117	CDS	714	hemE_2	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
PPDIGIDD_00118	CDS	1434				hypothetical protein
PPDIGIDD_00119	CDS	675				hypothetical protein
PPDIGIDD_00120	CDS	3081	mdtC			Multidrug resistance protein MdtC
PPDIGIDD_00121	CDS	570				hypothetical protein
PPDIGIDD_00122	CDS	9588				hypothetical protein
PPDIGIDD_00123	CDS	240				hypothetical protein
PPDIGIDD_00124	CDS	333				hypothetical protein
PPDIGIDD_00125	CDS	1971	ligA	6.5.1.2	COG0272	DNA ligase
PPDIGIDD_00126	CDS	942	cheV_1		COG0784	Chemotaxis protein CheV
PPDIGIDD_00127	CDS	1008	aspS_1	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
PPDIGIDD_00128	CDS	528	aspS_2	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
PPDIGIDD_00129	CDS	576	adk	2.7.4.3	COG0563	Adenylate kinase
PPDIGIDD_00130	CDS	999				hypothetical protein
PPDIGIDD_00131	CDS	549				hypothetical protein
PPDIGIDD_00132	CDS	714				hypothetical protein
PPDIGIDD_00133	CDS	522	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
PPDIGIDD_00134	CDS	2247	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
PPDIGIDD_00135	CDS	366				hypothetical protein
PPDIGIDD_00136	CDS	960	murC_1	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
PPDIGIDD_00137	CDS	444	murC_2	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
PPDIGIDD_00138	CDS	1128	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
PPDIGIDD_00139	CDS	1080	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PPDIGIDD_00140	CDS	1215	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PPDIGIDD_00141	CDS	1059				hypothetical protein
PPDIGIDD_00142	CDS	2046				hypothetical protein
PPDIGIDD_00143	CDS	585	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
PPDIGIDD_00144	CDS	1155	hydA	1.12.5.1	COG1740	Quinone-reactive Ni/Fe-hydrogenase small chain
PPDIGIDD_00145	CDS	1242	hydB_1	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
PPDIGIDD_00146	CDS	513	hydB_2	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
PPDIGIDD_00147	CDS	675	hydC		COG1969	Quinone-reactive Ni/Fe-hydrogenase B-type cytochrome subunit
PPDIGIDD_00148	CDS	204	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
PPDIGIDD_00149	CDS	249				hypothetical protein
PPDIGIDD_00150	CDS	1539				hypothetical protein
PPDIGIDD_00151	CDS	447				hypothetical protein
PPDIGIDD_00152	CDS	453				hypothetical protein
PPDIGIDD_00153	CDS	915				hypothetical protein
PPDIGIDD_00154	CDS	1221				hypothetical protein
PPDIGIDD_00155	CDS	903	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
PPDIGIDD_00156	CDS	159				hypothetical protein
PPDIGIDD_00157	CDS	927	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
PPDIGIDD_00158	CDS	822				hypothetical protein
PPDIGIDD_00159	CDS	2826	uvrA			UvrABC system protein A
PPDIGIDD_00160	CDS	1146	atoC		COG2204	Regulatory protein AtoC
PPDIGIDD_00161	CDS	474				hypothetical protein
PPDIGIDD_00162	CDS	2487	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
PPDIGIDD_00163	CDS	387	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
PPDIGIDD_00164	CDS	1014				hypothetical protein
PPDIGIDD_00165	CDS	237	acxC	6.4.1.6	COG4647	Acetone carboxylase gamma subunit
PPDIGIDD_00166	CDS	324				hypothetical protein
PPDIGIDD_00167	CDS	2298	acxB	6.4.1.6	COG0146	Acetone carboxylase alpha subunit
PPDIGIDD_00168	CDS	2142	acxA	6.4.1.6	COG0145	Acetone carboxylase beta subunit
PPDIGIDD_00169	CDS	1002				hypothetical protein
PPDIGIDD_00170	CDS	1365	atoE		COG2031	Putative short-chain fatty acid transporter
PPDIGIDD_00171	CDS	624	scoB	2.8.3.5	COG2057	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
PPDIGIDD_00172	CDS	699	scoA	2.8.3.5	COG1788	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
PPDIGIDD_00173	CDS	1176	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
PPDIGIDD_00174	CDS	813				hypothetical protein
PPDIGIDD_00175	CDS	1929	feoB		COG0370	Fe(2+) transporter FeoB
PPDIGIDD_00176	CDS	2304	fecA_1		COG4772	Fe(3+) dicitrate transport protein FecA
PPDIGIDD_00177	CDS	747	fliP		COG1338	Flagellar biosynthetic protein FliP
PPDIGIDD_00178	CDS	1302	glmU		COG1207	Bifunctional protein GlmU
PPDIGIDD_00179	CDS	336				hypothetical protein
PPDIGIDD_00180	CDS	483				hypothetical protein
PPDIGIDD_00181	CDS	369				hypothetical protein
PPDIGIDD_00182	CDS	495				hypothetical protein
PPDIGIDD_00183	CDS	2367	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
PPDIGIDD_00184	CDS	948	wbpB	1.1.1.335	COG0673	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase
PPDIGIDD_00185	CDS	768				hypothetical protein
PPDIGIDD_00186	CDS	507	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
PPDIGIDD_00187	CDS	1089	xerH_1		COG0582	Tyrosine recombinase XerH
PPDIGIDD_00188	CDS	1362				hypothetical protein
PPDIGIDD_00189	CDS	1173		2.6.1.1		Aspartate aminotransferase
PPDIGIDD_00190	CDS	813				hypothetical protein
PPDIGIDD_00191	CDS	1434				hypothetical protein
PPDIGIDD_00192	CDS	2466				hypothetical protein
PPDIGIDD_00193	CDS	2382				hypothetical protein
PPDIGIDD_00194	CDS	786	lutA_1		COG0247	Lactate utilization protein A
PPDIGIDD_00195	CDS	471				hypothetical protein
PPDIGIDD_00196	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
PPDIGIDD_00197	CDS	516				hypothetical protein
PPDIGIDD_00198	CDS	702	aroC_1	4.2.3.5	COG0082	Chorismate synthase
PPDIGIDD_00199	CDS	378	aroC_2	4.2.3.5	COG0082	Chorismate synthase
PPDIGIDD_00200	CDS	720	rnc	3.1.26.3	COG0571	Ribonuclease 3
PPDIGIDD_00201	CDS	465	rnhA	3.1.26.4	COG0328	Ribonuclease HI
PPDIGIDD_00202	CDS	1008	lapB			Lipopolysaccharide assembly protein B
PPDIGIDD_00203	CDS	1218	surA	5.2.1.8		Chaperone SurA
PPDIGIDD_00204	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
PPDIGIDD_00205	CDS	729				hypothetical protein
PPDIGIDD_00206	CDS	408				hypothetical protein
PPDIGIDD_00207	CDS	1062	mqnC	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
PPDIGIDD_00208	CDS	2766	bamA			Outer membrane protein assembly factor BamA
PPDIGIDD_00209	CDS	1125	mqnE	2.5.1.120	COG1060	Aminodeoxyfutalosine synthase
PPDIGIDD_00210	CDS	504	ftnA	1.16.3.2	COG1528	Bacterial non-heme ferritin
PPDIGIDD_00211	CDS	624	SERB	3.1.3.3	COG0560	Phosphoserine phosphatase
PPDIGIDD_00212	CDS	1260	fucT_1	2.4.1.152		Alpha-(1,3)-fucosyltransferase FucT
PPDIGIDD_00213	CDS	579				hypothetical protein
PPDIGIDD_00214	CDS	1407	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
PPDIGIDD_00215	CDS	1269	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
PPDIGIDD_00216	CDS	408				hypothetical protein
PPDIGIDD_00217	CDS	822	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
PPDIGIDD_00218	CDS	1722				hypothetical protein
PPDIGIDD_00219	CDS	294				hypothetical protein
PPDIGIDD_00220	CDS	1320	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
PPDIGIDD_00221	CDS	654		1.-.-.-	COG0778	Putative NAD(P)H nitroreductase
PPDIGIDD_00222	CDS	1197	cca	2.7.7.72		CCA-adding enzyme
PPDIGIDD_00223	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
PPDIGIDD_00224	CDS	915				hypothetical protein
PPDIGIDD_00225	CDS	1245				hypothetical protein
PPDIGIDD_00226	CDS	723	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
PPDIGIDD_00227	CDS	402				hypothetical protein
PPDIGIDD_00228	CDS	1737				hypothetical protein
PPDIGIDD_00229	CDS	633	argO		COG1279	Arginine exporter protein ArgO
PPDIGIDD_00230	CDS	423				hypothetical protein
PPDIGIDD_00231	CDS	471				hypothetical protein
PPDIGIDD_00232	CDS	312	ansA_1	3.5.1.1	COG0252	putative L-asparaginase
PPDIGIDD_00233	CDS	744	ansA_2	3.5.1.1	COG0252	putative L-asparaginase
PPDIGIDD_00234	CDS	1332	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
PPDIGIDD_00235	CDS	1893				hypothetical protein
PPDIGIDD_00236	CDS	855				hypothetical protein
PPDIGIDD_00237	CDS	987	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
PPDIGIDD_00238	CDS	1032	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
PPDIGIDD_00239	CDS	1068				hypothetical protein
PPDIGIDD_00240	CDS	306				hypothetical protein
PPDIGIDD_00241	CDS	1713				hypothetical protein
PPDIGIDD_00242	CDS	1605				hypothetical protein
PPDIGIDD_00243	CDS	237				hypothetical protein
PPDIGIDD_00244	CDS	1320	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
PPDIGIDD_00245	CDS	462	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
PPDIGIDD_00246	CDS	1110		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
PPDIGIDD_00247	CDS	477	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
PPDIGIDD_00248	CDS	1071	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
PPDIGIDD_00249	CDS	726	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
PPDIGIDD_00250	CDS	1482	murF	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PPDIGIDD_00251	CDS	486		2.7.7.53	COG0537	AP-4-A phosphorylase
PPDIGIDD_00252	CDS	957	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
PPDIGIDD_00253	tRNA	77				tRNA-Met(cat)
PPDIGIDD_00254	CDS	585				hypothetical protein
PPDIGIDD_00255	CDS	984	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
PPDIGIDD_00256	CDS	1260				hypothetical protein
PPDIGIDD_00257	CDS	1179	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
PPDIGIDD_00258	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
PPDIGIDD_00259	CDS	807				hypothetical protein
PPDIGIDD_00260	CDS	1203				hypothetical protein
PPDIGIDD_00261	CDS	360				hypothetical protein
PPDIGIDD_00262	CDS	717	fliD_1		COG1345	Flagellar hook-associated protein 2
PPDIGIDD_00263	CDS	1284	fliD_2		COG1345	Flagellar hook-associated protein 2
PPDIGIDD_00264	CDS	381	fliS			Flagellar secretion chaperone FliS
PPDIGIDD_00265	CDS	240				hypothetical protein
PPDIGIDD_00266	CDS	660				hypothetical protein
PPDIGIDD_00267	CDS	147				hypothetical protein
PPDIGIDD_00268	CDS	879		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
PPDIGIDD_00269	CDS	1314				hypothetical protein
PPDIGIDD_00270	CDS	1254	yeeO		COG0534	putative FMN/FAD exporter YeeO
PPDIGIDD_00271	CDS	1365	rny	3.1.-.-	COG1418	Ribonuclease Y
PPDIGIDD_00272	CDS	231				hypothetical protein
PPDIGIDD_00273	CDS	648				hypothetical protein
PPDIGIDD_00274	CDS	558				hypothetical protein
PPDIGIDD_00275	CDS	894	ftsY			Signal recognition particle receptor FtsY
PPDIGIDD_00276	CDS	312				hypothetical protein
PPDIGIDD_00277	CDS	357				hypothetical protein
PPDIGIDD_00278	CDS	567				hypothetical protein
PPDIGIDD_00279	CDS	375				hypothetical protein
PPDIGIDD_00280	CDS	426				hypothetical protein
PPDIGIDD_00281	CDS	615	moaA_1			GTP 3',8-cyclase
PPDIGIDD_00282	CDS	225	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
PPDIGIDD_00283	CDS	606	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
PPDIGIDD_00284	CDS	1077	flhB		COG1377	Flagellar biosynthetic protein FlhB
PPDIGIDD_00285	CDS	738				hypothetical protein
PPDIGIDD_00286	CDS	1317				hypothetical protein
PPDIGIDD_00287	CDS	1092				hypothetical protein
PPDIGIDD_00288	CDS	1209	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
PPDIGIDD_00289	CDS	2328	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
PPDIGIDD_00290	CDS	225	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
PPDIGIDD_00291	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
PPDIGIDD_00292	CDS	684	mqnA	4.2.1.151		Chorismate dehydratase
PPDIGIDD_00293	CDS	2559	acnB	4.2.1.3	COG1049	Aconitate hydratase B
PPDIGIDD_00294	CDS	267				hypothetical protein
PPDIGIDD_00295	CDS	1290				hypothetical protein
PPDIGIDD_00296	CDS	1368				hypothetical protein
PPDIGIDD_00297	CDS	528				hypothetical protein
PPDIGIDD_00298	tmRNA	386	ssrA			transfer-messenger RNA, SsrA
PPDIGIDD_00299	CDS	555	lolA			Outer-membrane lipoprotein carrier protein
PPDIGIDD_00300	CDS	2577	secA		COG0653	Protein translocase subunit SecA
PPDIGIDD_00301	CDS	1296	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
PPDIGIDD_00302	CDS	1500				hypothetical protein
PPDIGIDD_00303	CDS	1293				hypothetical protein
PPDIGIDD_00304	CDS	2061	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
PPDIGIDD_00305	CDS	1521	comM		COG0606	Competence protein ComM
PPDIGIDD_00306	CDS	528	def1	3.5.1.88	COG0242	Peptide deformylase 1
PPDIGIDD_00307	CDS	588	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
PPDIGIDD_00308	CDS	1356	tig	5.2.1.8	COG0544	Trigger factor
PPDIGIDD_00309	CDS	837				hypothetical protein
PPDIGIDD_00310	CDS	783				hypothetical protein
PPDIGIDD_00311	CDS	477	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
PPDIGIDD_00312	CDS	438	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
PPDIGIDD_00313	CDS	438	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
PPDIGIDD_00314	CDS	222				hypothetical protein
PPDIGIDD_00315	CDS	579	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
PPDIGIDD_00316	CDS	747				hypothetical protein
PPDIGIDD_00317	CDS	1035	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
PPDIGIDD_00318	CDS	558				hypothetical protein
PPDIGIDD_00319	CDS	615				hypothetical protein
PPDIGIDD_00320	CDS	2331	fecA_2		COG4772	Fe(3+) dicitrate transport protein FecA
PPDIGIDD_00321	CDS	360	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PPDIGIDD_00322	CDS	552				hypothetical protein
PPDIGIDD_00323	CDS	603	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
PPDIGIDD_00324	CDS	327				hypothetical protein
PPDIGIDD_00325	CDS	129				hypothetical protein
PPDIGIDD_00326	CDS	966				hypothetical protein
PPDIGIDD_00327	CDS	618		3.-.-.-		putative protein
PPDIGIDD_00328	CDS	768	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
PPDIGIDD_00329	CDS	774	pomA		COG1291	Chemotaxis protein PomA
PPDIGIDD_00330	CDS	207				hypothetical protein
PPDIGIDD_00331	CDS	576	motB		COG1360	Motility protein B
PPDIGIDD_00332	CDS	438				hypothetical protein
PPDIGIDD_00333	CDS	573				hypothetical protein
PPDIGIDD_00334	CDS	819	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
PPDIGIDD_00335	CDS	855				hypothetical protein
PPDIGIDD_00336	CDS	789	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
PPDIGIDD_00337	CDS	639	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
PPDIGIDD_00338	CDS	462				hypothetical protein
PPDIGIDD_00339	CDS	1785	uvrC		COG0322	UvrABC system protein C
PPDIGIDD_00340	CDS	1266	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
PPDIGIDD_00341	CDS	345				hypothetical protein
PPDIGIDD_00342	CDS	321	trxA_1		COG0526	Thioredoxin
PPDIGIDD_00343	CDS	936	trxB	1.8.1.9	COG0492	Thioredoxin reductase
PPDIGIDD_00344	CDS	822				hypothetical protein
PPDIGIDD_00345	CDS	249				hypothetical protein
PPDIGIDD_00346	CDS	681	atpB		COG0356	ATP synthase subunit a
PPDIGIDD_00347	CDS	1446	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
PPDIGIDD_00348	CDS	1362	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
PPDIGIDD_00349	CDS	591	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
PPDIGIDD_00350	CDS	789	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
PPDIGIDD_00351	CDS	879				hypothetical protein
PPDIGIDD_00352	CDS	1386	der		COG1160	GTPase Der
PPDIGIDD_00353	CDS	285	hup		COG0776	DNA-binding protein HU
PPDIGIDD_00354	tRNA	77				tRNA-Arg(cct)
PPDIGIDD_00355	CDS	606				hypothetical protein
PPDIGIDD_00356	CDS	582				hypothetical protein
PPDIGIDD_00357	CDS	1764				hypothetical protein
PPDIGIDD_00358	CDS	984	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
PPDIGIDD_00359	CDS	1278	coaBC	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
PPDIGIDD_00360	CDS	597				hypothetical protein
PPDIGIDD_00361	CDS	660	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
PPDIGIDD_00362	CDS	810	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
PPDIGIDD_00363	CDS	780	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
PPDIGIDD_00364	CDS	3015	hsdR_1	3.1.21.3		Type I restriction enzyme EcoR124II R protein
PPDIGIDD_00365	CDS	606				hypothetical protein
