locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMIBBFGC_00088	CDS	894	folD		COG0190	Bifunctional protein FolD protein
LMIBBFGC_00089	CDS	2028	mdoB	2.7.8.20		Phosphoglycerol transferase I
LMIBBFGC_00090	CDS	396				hypothetical protein
LMIBBFGC_00091	CDS	1014				hypothetical protein
LMIBBFGC_00092	CDS	1020	pyrC_1	3.5.2.3	COG0418	Dihydroorotase
LMIBBFGC_00093	CDS	543				hypothetical protein
LMIBBFGC_00094	CDS	285				hypothetical protein
LMIBBFGC_00095	CDS	882				hypothetical protein
LMIBBFGC_00096	CDS	372				hypothetical protein
LMIBBFGC_00097	CDS	651	nth_1	4.2.99.18	COG0177	Endonuclease III
LMIBBFGC_00098	CDS	231				hypothetical protein
LMIBBFGC_00099	CDS	2940				hypothetical protein
LMIBBFGC_00100	CDS	870	mltG	4.2.2.-		Endolytic murein transglycosylase
LMIBBFGC_00101	CDS	342	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
LMIBBFGC_00102	CDS	1128	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
LMIBBFGC_00103	CDS	822				hypothetical protein
LMIBBFGC_00104	CDS	555				hypothetical protein
LMIBBFGC_00105	CDS	1779				hypothetical protein
LMIBBFGC_00106	CDS	165				hypothetical protein
LMIBBFGC_00107	CDS	1470				hypothetical protein
LMIBBFGC_00108	CDS	579				hypothetical protein
LMIBBFGC_00109	CDS	1980	mrcA		COG5009	Penicillin-binding protein 1A
LMIBBFGC_00110	CDS	882	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
LMIBBFGC_00111	CDS	1302				hypothetical protein
LMIBBFGC_00112	CDS	930	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
LMIBBFGC_00113	CDS	1533	flaA		COG1344	Flagellin A
LMIBBFGC_00114	CDS	651	nth_2	4.2.99.18		Endonuclease III
LMIBBFGC_00115	CDS	618				hypothetical protein
LMIBBFGC_00116	CDS	1020	hemE_1	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
LMIBBFGC_00117	CDS	1125				hypothetical protein
LMIBBFGC_00118	CDS	714	hemE_2	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
LMIBBFGC_00119	CDS	1434				hypothetical protein
LMIBBFGC_00120	CDS	675				hypothetical protein
LMIBBFGC_00121	CDS	3081	mdtC			Multidrug resistance protein MdtC
LMIBBFGC_00122	CDS	192				hypothetical protein
LMIBBFGC_00123	CDS	342				hypothetical protein
LMIBBFGC_00124	CDS	9588				hypothetical protein
LMIBBFGC_00125	CDS	240				hypothetical protein
LMIBBFGC_00126	CDS	333				hypothetical protein
LMIBBFGC_00127	CDS	1971	ligA	6.5.1.2	COG0272	DNA ligase
LMIBBFGC_00128	CDS	942	cheV_1		COG0784	Chemotaxis protein CheV
LMIBBFGC_00129	CDS	966	aspS_1	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
LMIBBFGC_00130	CDS	528	aspS_2	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
LMIBBFGC_00131	CDS	576	adk	2.7.4.3	COG0563	Adenylate kinase
LMIBBFGC_00132	CDS	999				hypothetical protein
LMIBBFGC_00133	CDS	1212				hypothetical protein
LMIBBFGC_00134	CDS	522	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
LMIBBFGC_00135	CDS	2247	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
LMIBBFGC_00136	CDS	366				hypothetical protein
LMIBBFGC_00137	CDS	891	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
LMIBBFGC_00138	CDS	396	murC_2	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
LMIBBFGC_00139	CDS	1128	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
LMIBBFGC_00140	CDS	1080	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LMIBBFGC_00141	CDS	1215	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
LMIBBFGC_00142	CDS	1059				hypothetical protein
LMIBBFGC_00143	CDS	2046				hypothetical protein
LMIBBFGC_00144	CDS	585	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
LMIBBFGC_00145	CDS	1155	hydA	1.12.5.1	COG1740	Quinone-reactive Ni/Fe-hydrogenase small chain
LMIBBFGC_00146	CDS	1242	hydB_1	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
LMIBBFGC_00147	CDS	255	hydB_2	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
LMIBBFGC_00148	CDS	282	hydB_3	1.12.5.1	COG0374	Quinone-reactive Ni/Fe-hydrogenase large chain
LMIBBFGC_00149	CDS	675	hydC		COG1969	Quinone-reactive Ni/Fe-hydrogenase B-type cytochrome subunit
LMIBBFGC_00150	CDS	204	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
LMIBBFGC_00151	CDS	249				hypothetical protein
LMIBBFGC_00152	CDS	1539				hypothetical protein
LMIBBFGC_00153	CDS	447				hypothetical protein
LMIBBFGC_00154	CDS	453				hypothetical protein
LMIBBFGC_00155	CDS	915				hypothetical protein
LMIBBFGC_00156	CDS	1221				hypothetical protein
LMIBBFGC_00157	CDS	903	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
LMIBBFGC_00158	CDS	159				hypothetical protein
LMIBBFGC_00159	CDS	927	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
LMIBBFGC_00160	CDS	822				hypothetical protein
LMIBBFGC_00161	CDS	2826	uvrA			UvrABC system protein A
LMIBBFGC_00162	CDS	1146	atoC		COG2204	Regulatory protein AtoC
LMIBBFGC_00163	CDS	474				hypothetical protein
LMIBBFGC_00164	CDS	2487	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
LMIBBFGC_00165	CDS	387	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
LMIBBFGC_00166	CDS	963				hypothetical protein
LMIBBFGC_00167	CDS	501	acxC	6.4.1.6	COG4647	Acetone carboxylase gamma subunit
LMIBBFGC_00168	CDS	2298	acxB	6.4.1.6	COG0146	Acetone carboxylase alpha subunit
LMIBBFGC_00169	CDS	2142	acxA	6.4.1.6	COG0145	Acetone carboxylase beta subunit
LMIBBFGC_00170	CDS	1002				hypothetical protein
LMIBBFGC_00171	CDS	1365	atoE		COG2031	Putative short-chain fatty acid transporter
LMIBBFGC_00172	CDS	624	scoB	2.8.3.5	COG2057	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
LMIBBFGC_00173	CDS	699	scoA	2.8.3.5	COG1788	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
LMIBBFGC_00174	CDS	1176	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
LMIBBFGC_00175	CDS	813				hypothetical protein
LMIBBFGC_00176	CDS	1929	feoB		COG0370	Fe(2+) transporter FeoB
LMIBBFGC_00177	CDS	2304	fecA_1		COG4772	Fe(3+) dicitrate transport protein FecA
LMIBBFGC_00178	CDS	747	fliP		COG1338	Flagellar biosynthetic protein FliP
LMIBBFGC_00179	CDS	1302	glmU		COG1207	Bifunctional protein GlmU
LMIBBFGC_00180	CDS	336				hypothetical protein
LMIBBFGC_00181	CDS	483				hypothetical protein
LMIBBFGC_00182	CDS	369				hypothetical protein
LMIBBFGC_00183	CDS	495				hypothetical protein
LMIBBFGC_00184	CDS	2367	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
LMIBBFGC_00185	CDS	948	wbpB	1.1.1.335	COG0673	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase
LMIBBFGC_00186	CDS	768				hypothetical protein
LMIBBFGC_00187	CDS	507	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
LMIBBFGC_00188	CDS	1089	xerH_1		COG0582	Tyrosine recombinase XerH
LMIBBFGC_00189	CDS	1362				hypothetical protein
LMIBBFGC_00190	CDS	1173		2.6.1.1		Aspartate aminotransferase
LMIBBFGC_00191	CDS	813				hypothetical protein
LMIBBFGC_00192	CDS	1434				hypothetical protein
LMIBBFGC_00193	CDS	2466				hypothetical protein
LMIBBFGC_00194	CDS	2382				hypothetical protein
LMIBBFGC_00195	CDS	735	lutA_1		COG0247	Lactate utilization protein A
LMIBBFGC_00196	CDS	471				hypothetical protein
LMIBBFGC_00197	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
LMIBBFGC_00198	CDS	516				hypothetical protein
LMIBBFGC_00199	CDS	702	aroC_1	4.2.3.5	COG0082	Chorismate synthase
LMIBBFGC_00200	CDS	390	aroC_2	4.2.3.5	COG0082	Chorismate synthase
LMIBBFGC_00201	CDS	720	rnc	3.1.26.3	COG0571	Ribonuclease 3
LMIBBFGC_00202	CDS	465	rnhA	3.1.26.4	COG0328	Ribonuclease HI
LMIBBFGC_00203	CDS	1008	lapB			Lipopolysaccharide assembly protein B
LMIBBFGC_00204	CDS	1218	surA	5.2.1.8		Chaperone SurA
LMIBBFGC_00205	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LMIBBFGC_00206	CDS	729				hypothetical protein
LMIBBFGC_00207	CDS	408				hypothetical protein
LMIBBFGC_00208	CDS	1062	mqnC	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
LMIBBFGC_00209	CDS	2592	bamA			Outer membrane protein assembly factor BamA
LMIBBFGC_00210	CDS	219				hypothetical protein
LMIBBFGC_00211	CDS	1125	mqnE	2.5.1.120	COG1060	Aminodeoxyfutalosine synthase
LMIBBFGC_00212	CDS	504	ftnA	1.16.3.2	COG1528	Bacterial non-heme ferritin
LMIBBFGC_00213	CDS	624	SERB	3.1.3.3	COG0560	Phosphoserine phosphatase
LMIBBFGC_00214	CDS	1176	fucT_1	2.4.1.152		Alpha-(1,3)-fucosyltransferase FucT
LMIBBFGC_00215	CDS	579				hypothetical protein
LMIBBFGC_00216	CDS	1407	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
LMIBBFGC_00217	CDS	1269	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
LMIBBFGC_00218	CDS	408				hypothetical protein
LMIBBFGC_00219	CDS	822	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
LMIBBFGC_00220	CDS	1722				hypothetical protein
LMIBBFGC_00221	CDS	294				hypothetical protein
LMIBBFGC_00222	CDS	1320	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
LMIBBFGC_00223	CDS	357	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
LMIBBFGC_00224	CDS	204		1.-.-.-	COG0778	Putative NAD(P)H nitroreductase
LMIBBFGC_00225	CDS	1197	cca	2.7.7.72		CCA-adding enzyme
LMIBBFGC_00226	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
LMIBBFGC_00227	CDS	915				hypothetical protein
LMIBBFGC_00228	CDS	270	rpoN		COG1508	RNA polymerase sigma-54 factor
LMIBBFGC_00229	CDS	966				hypothetical protein
LMIBBFGC_00230	CDS	723	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
LMIBBFGC_00231	CDS	402				hypothetical protein
LMIBBFGC_00232	CDS	1737				hypothetical protein
LMIBBFGC_00233	CDS	516	argO			Arginine exporter protein ArgO
LMIBBFGC_00234	CDS	423				hypothetical protein
LMIBBFGC_00235	CDS	471				hypothetical protein
LMIBBFGC_00236	CDS	312	ansA_1	3.5.1.1	COG0252	putative L-asparaginase
LMIBBFGC_00237	CDS	744	ansA_2	3.5.1.1	COG0252	putative L-asparaginase
LMIBBFGC_00238	CDS	1332	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
LMIBBFGC_00239	CDS	1893				hypothetical protein
LMIBBFGC_00240	CDS	855				hypothetical protein
LMIBBFGC_00241	CDS	987	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
LMIBBFGC_00242	CDS	1032	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
LMIBBFGC_00243	CDS	1068				hypothetical protein
LMIBBFGC_00244	CDS	306				hypothetical protein
LMIBBFGC_00245	CDS	1713				hypothetical protein
LMIBBFGC_00246	CDS	1605				hypothetical protein
LMIBBFGC_00247	CDS	237				hypothetical protein
LMIBBFGC_00248	CDS	1320	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
LMIBBFGC_00249	CDS	462	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
LMIBBFGC_00250	CDS	1110		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
LMIBBFGC_00251	CDS	477	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
LMIBBFGC_00252	CDS	1071	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
LMIBBFGC_00253	CDS	726	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
LMIBBFGC_00254	CDS	1482	murF	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LMIBBFGC_00255	CDS	486		2.7.7.53	COG0537	AP-4-A phosphorylase
LMIBBFGC_00256	CDS	957	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
LMIBBFGC_00257	tRNA	77				tRNA-Met(cat)
LMIBBFGC_00258	CDS	585				hypothetical protein
LMIBBFGC_00259	CDS	984	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
LMIBBFGC_00260	CDS	1260				hypothetical protein
LMIBBFGC_00261	CDS	1077	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
LMIBBFGC_00262	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
LMIBBFGC_00263	CDS	807				hypothetical protein
LMIBBFGC_00264	CDS	1203				hypothetical protein
LMIBBFGC_00265	CDS	360				hypothetical protein
LMIBBFGC_00266	CDS	717	fliD_1		COG1345	Flagellar hook-associated protein 2
LMIBBFGC_00267	CDS	1338	fliD_2		COG1345	Flagellar hook-associated protein 2
LMIBBFGC_00268	CDS	381	fliS			Flagellar secretion chaperone FliS
LMIBBFGC_00269	CDS	240				hypothetical protein
LMIBBFGC_00270	CDS	660				hypothetical protein
LMIBBFGC_00271	CDS	147				hypothetical protein
LMIBBFGC_00272	CDS	225				hypothetical protein
LMIBBFGC_00273	CDS	699		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
LMIBBFGC_00274	CDS	1173				hypothetical protein
LMIBBFGC_00275	CDS	600				hypothetical protein
LMIBBFGC_00276	CDS	594	yeeO		COG0534	putative FMN/FAD exporter YeeO
LMIBBFGC_00277	CDS	1272	rny	3.1.-.-	COG1418	Ribonuclease Y
LMIBBFGC_00278	CDS	231				hypothetical protein
LMIBBFGC_00279	CDS	648				hypothetical protein
LMIBBFGC_00280	CDS	558				hypothetical protein
LMIBBFGC_00281	CDS	894	ftsY			Signal recognition particle receptor FtsY
LMIBBFGC_00282	CDS	312				hypothetical protein
LMIBBFGC_00283	CDS	357				hypothetical protein
LMIBBFGC_00284	CDS	273				hypothetical protein
LMIBBFGC_00285	CDS	567				hypothetical protein
LMIBBFGC_00286	CDS	375				hypothetical protein
LMIBBFGC_00287	CDS	426				hypothetical protein
LMIBBFGC_00288	CDS	615	moaA_1			GTP 3',8-cyclase
LMIBBFGC_00289	CDS	225	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
LMIBBFGC_00290	CDS	606	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
LMIBBFGC_00291	CDS	1077	flhB		COG1377	Flagellar biosynthetic protein FlhB
LMIBBFGC_00292	CDS	738				hypothetical protein
LMIBBFGC_00293	CDS	648	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
LMIBBFGC_00294	CDS	690				hypothetical protein
LMIBBFGC_00295	CDS	1092				hypothetical protein
LMIBBFGC_00296	CDS	1209	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
LMIBBFGC_00297	CDS	2328	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
LMIBBFGC_00298	CDS	225	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
LMIBBFGC_00299	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
LMIBBFGC_00300	CDS	684	mqnA	4.2.1.151		Chorismate dehydratase
LMIBBFGC_00301	CDS	2559	acnB	4.2.1.3	COG1049	Aconitate hydratase B
LMIBBFGC_00302	CDS	267				hypothetical protein
LMIBBFGC_00303	CDS	1290				hypothetical protein
LMIBBFGC_00304	CDS	1368				hypothetical protein
LMIBBFGC_00305	CDS	528				hypothetical protein
LMIBBFGC_00306	tmRNA	386	ssrA			transfer-messenger RNA, SsrA
LMIBBFGC_00307	CDS	318	lolA			Outer-membrane lipoprotein carrier protein
LMIBBFGC_00308	CDS	99				hypothetical protein
LMIBBFGC_00309	CDS	2577	secA		COG0653	Protein translocase subunit SecA
LMIBBFGC_00310	CDS	1293	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
LMIBBFGC_00311	CDS	1500				hypothetical protein
LMIBBFGC_00312	CDS	1260				hypothetical protein
LMIBBFGC_00313	CDS	2061	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
LMIBBFGC_00314	CDS	1074	comM		COG0606	Competence protein ComM
LMIBBFGC_00315	CDS	486				hypothetical protein
LMIBBFGC_00316	CDS	528	def1	3.5.1.88	COG0242	Peptide deformylase 1
LMIBBFGC_00317	CDS	588	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
LMIBBFGC_00318	CDS	1356	tig	5.2.1.8	COG0544	Trigger factor
LMIBBFGC_00319	CDS	837				hypothetical protein
LMIBBFGC_00320	CDS	783				hypothetical protein
LMIBBFGC_00321	CDS	477	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
LMIBBFGC_00322	CDS	438	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
LMIBBFGC_00323	CDS	438	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
LMIBBFGC_00324	CDS	222				hypothetical protein
LMIBBFGC_00325	CDS	579	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
LMIBBFGC_00326	CDS	747				hypothetical protein
LMIBBFGC_00327	CDS	1035	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
LMIBBFGC_00328	CDS	558				hypothetical protein
LMIBBFGC_00329	CDS	615				hypothetical protein
LMIBBFGC_00330	CDS	2331	fecA_2		COG4772	Fe(3+) dicitrate transport protein FecA
LMIBBFGC_00331	CDS	360	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
LMIBBFGC_00332	CDS	552				hypothetical protein
LMIBBFGC_00333	CDS	603	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
LMIBBFGC_00334	CDS	327				hypothetical protein
LMIBBFGC_00335	CDS	156				hypothetical protein
LMIBBFGC_00336	CDS	888				hypothetical protein
LMIBBFGC_00337	CDS	618		3.-.-.-		putative protein
LMIBBFGC_00338	CDS	612				hypothetical protein
LMIBBFGC_00339	CDS	774	pomA		COG1291	Chemotaxis protein PomA
LMIBBFGC_00340	CDS	207				hypothetical protein
LMIBBFGC_00341	CDS	576	motB		COG1360	Motility protein B
LMIBBFGC_00342	CDS	438				hypothetical protein
LMIBBFGC_00343	CDS	573				hypothetical protein
LMIBBFGC_00344	CDS	819	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
LMIBBFGC_00345	CDS	726	opuCD		COG1174	Carnitine transport permease protein OpuCD
LMIBBFGC_00346	CDS	789	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
LMIBBFGC_00347	CDS	639	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
LMIBBFGC_00348	CDS	462				hypothetical protein
LMIBBFGC_00349	CDS	1785	uvrC		COG0322	UvrABC system protein C
LMIBBFGC_00350	CDS	1266	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
LMIBBFGC_00351	CDS	345				hypothetical protein
LMIBBFGC_00352	CDS	321	trxA_1		COG0526	Thioredoxin
LMIBBFGC_00353	CDS	936	trxB	1.8.1.9	COG0492	Thioredoxin reductase
LMIBBFGC_00354	CDS	822				hypothetical protein
LMIBBFGC_00355	CDS	249				hypothetical protein
LMIBBFGC_00356	CDS	681	atpB		COG0356	ATP synthase subunit a
LMIBBFGC_00357	CDS	1446	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
LMIBBFGC_00358	CDS	1362	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
LMIBBFGC_00359	CDS	591	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
LMIBBFGC_00360	CDS	789	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
LMIBBFGC_00361	CDS	879				hypothetical protein
LMIBBFGC_00362	CDS	1386	der		COG1160	GTPase Der
LMIBBFGC_00363	CDS	285	hup		COG0776	DNA-binding protein HU
LMIBBFGC_00364	tRNA	77				tRNA-Arg(cct)
LMIBBFGC_00365	CDS	480				hypothetical protein
LMIBBFGC_00366	CDS	582				hypothetical protein
LMIBBFGC_00367	CDS	1764				hypothetical protein
LMIBBFGC_00368	CDS	984	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
